,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
10,"Hua Xu, Peifa Jia",35738317800;23974486000;,A fuzzy timed object-oriented Petri net for multi-agent systems,2008.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5264 LNCS,PART 2,,210,219,,2.0,10.1007/978-3-540-87734-9_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58849147870&doi=10.1007%2f978-3-540-87734-9_24&partnerID=40&md5=3061266cff165ef1beecb1c4bc32402e,"In this paper, a multi-agent system (MAS) modeling method called fuzzy timed object-oriented Petri nets (FTOPN) is proposed. FTO-PN has extended Petri nets (PN) supporting object-oriented modeling and temporal fuzzy learning based on timed hierarchical object-oriented Petri net (TOPN) and fuzzy timed Petri net (FTPN). Our focus is the adaptation according to TOPN concepts of cooperation objects for supporting synchronous and asynchronous communications and the temporal fuzzy learning proposed in FTPN. These two diagrams have been chosen because they are the most commonly used in modeling MAS and describing agent learning and reasoning ability. That is to say, they can be used to model and illustrate both the structural and dynamic aspects of MAS. Not only the proposed FTOPN can be used to model complex MAS, but also FTOPN model can be refined into the object-oriented implementation easily. It has bridged the gap between the formal modeling and the system refinement, which can overcome the development problems in agent-oriented software engineering. At the same time, it also can be regarded as a conceptual and practical artificial intelligence (AI) tool for the integration of MAS into the mainstream practice of software development. © 2008 Springer-Verlag Berlin Heidelberg.",,Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-58849147870
11,Jon Atle Gulla,6603727055;,A General Explanation Component for Conceptual Modeling in CASE Environments,1996.0,ACM Transactions on Information Systems,14,3,,297,329,,17.0,10.1145/230538.230560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030193153&doi=10.1145%2f230538.230560&partnerID=40&md5=bb667fffbe83c7872a27934c6c51b2c7,"In information systems engineering, conceptual models are constructed to assess existing information systems and work out requirements for new ones. As these models serve as a means for communication between customers and developers, it is paramount that both parties understand the models, as well as that the models form a proper basis for the subsequent design and implementation of the systems. New CASE environments are now experimenting with formal modeling languages and various techniques for validating conceptual models, though it seems difficult to come up with a technique that handles the linguistic barriers between the parties involved in a satisfactory manner. In this article, we discuss the theoretical basis of an explanation component implemented for the PPP CASE environment. This component integrates other validation techniques and provides a very flexible natural-language interface to complex model information. It describes properties of the modeling language and the conceptual models in terms familiar to users, and the explanations can be combined with graphical model views. When models are executed, it can justify requested inputs and explain computed outputs by relating trace information to properties of the models.",D.2.2 [Software Engineering]: Tools and Techniques - Computer-aided software engineering (CASE); Design; Documentation; I.2.7 [Artificial Intelligence]: Natural Language Processing; I.6.4 [Simulation and Modeling]: Model Validation and Analysis,Article,Final,,Scopus,2-s2.0-0030193153
12,"Yohann Chasseray, Anne-Marie Barthe-Delanoë, Stéphane Négny, Jean-Marc Le Lann",57221864213;55886483100;6602967168;6603710045;,A generic metamodel for data extraction and generic ontology population,2021.0,Journal of Information Science,,,,,,,1.0,10.1177/0165551521989641,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100473548&doi=10.1177%2f0165551521989641&partnerID=40&md5=4cfd68b2db6737dd0530ce394fa70a0b,"As the next step in the development of intelligent computing systems is the addition of human expertise and knowledge, it is a priority to build strong computable and well-documented knowledge bases. Ontologies partially respond to this challenge by providing formalisms for knowledge representation. However, one major remaining task is the population of these ontologies with concrete application. Based on Model-Driven Engineering principles, a generic metamodel for the extraction of heterogeneous data is presented in this article. The metamodel has been designed with two objectives, namely (1) the need of genericity regarding the source of collected pieces of knowledge and (2) the intent to stick to a structure close to an ontological structure. As well, an example of instantiation of the metamodel for textual data in chemistry domain and an insight of how this metamodel could be integrated in a larger automated domain independent ontology population framework are given. © The Author(s) 2021.",Instantiation; knowledge base; knowledge extraction; model transformation; model-driven engineering,Article,Article in Press,,Scopus,2-s2.0-85100473548
13,"Alexander Martens, Peter Fettke, Peter Loos",57190954750;55888276100;7004044480;,A genetic algorithm for the inductive derivation of reference models using minimal graph-edit distance applied to real-world business process data,2014.0,"Tagungsband Multikonferenz Wirtschaftsinformatik 2014, MKWI 2014",,,,1613,1626,,10.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949856477&partnerID=40&md5=d756f988d9ec1a18a9b4a070220c2ecd,"Business process management has become an important topic and a subject of lively discussion, especially the conceptual modeling of business processes. This task is time-consuming and the outcome depends strongly on the mindset of the designer. Meanwhile, recent research is focusing on inductive reference modeling, especially based on minimal graph-edit distance. In contrast to related work, this innovative approach operationalizes reference models as an abstract model that can be transformed in a minimal number of steps towards individual business process models. The formulated optimization problem of minimal graph-edit distance is approximated using a variant of genetic algorithms. The method is applied to relevant real-world examples of individual business process models to evaluate inductive reference model development following evolution strategies. Therefore, the presented approach is implemented prototypically as proof-of-concept, and thus proves its practical usage.",,Conference Paper,Final,,Scopus,2-s2.0-84949856477
14,"Manuel Kolp, Paolo Giorgini, John Mylopoulos",6602956917;6603873210;7005652259;,A goal-based organizational perspective on multi-agent architectures,2002.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2333 LNAI,,,128,140,,22.0,10.1007/3-540-45448-9_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901716079&doi=10.1007%2f3-540-45448-9_10&partnerID=40&md5=19009a47013a10ea3749f5a8a901973b,"A Multi-Agent System (MAS) is an organization of coordinated autonomous agents that interact in order to achieve common goals. Considering real world organizations as an analogy, this paper proposes architectural styles for MAS which adopt concepts from organization theory and strategic alliances literature. The styles are intended to represent a macro-level architecture of a MAS, and they are modeled using the i* framework which offers the notions of actor, goal and actor dependency for modeling multi-agent settings. The styles are also specified as metaconcepts in the Telos modeling language. Moreover, each style is evaluated with respect to a set of software quality attributes, such as predictability and adaptability. The paper also explores the adoption of micro-level patterns proposed elsewhere in order to give a finer-grain description of a MAS architecture. These patterns define how goals assigned to actors participating in an organizational architecture will be fulfilled by agents. An e-business example illustrates both the styles and patterns proposed in this work. The research is being conducted within the context of Tropos, a comprehensive software development methodology for agent-oriented software. © Springer-Verlag Berlin Heidelberg 2002.",,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-84901716079
15," Bourbakis,  Psarologou,  Rematska,  Esposito",7006247012;55948574000;56039023300;35310158400;,A human-like SPN methodology for deep understanding of technical documents,2017.0,"Proceedings - 2016 IEEE 28th International Conference on Tools with Artificial Intelligence, ICTAI 2016",,,7814681,772,778,,1.0,10.1109/ICTAI.2016.0121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013661641&doi=10.1109%2fICTAI.2016.0121&partnerID=40&md5=de00d57fb51790340d37dc14872aff99,"This paper deals with the Automatic Deep Understanding (ADU) of technical documents. Here we present a synergistic collaboration between two different modalities, a natural language text understanding (NLU) method and a diagram-image extraction & modeling (DIM) one for the deep understanding of technical documents. In particular, the NLU extracts the text from the document and determines the associations among the nouns and their interactions, by creating their stochastic Petri-net (SPN) graph model. The DIM extracts the diagrams from the document and produces their graph models. Then we combine (associate) these two models in a synergistic way, which leads to the deeper understanding of the technical document. © 2016 IEEE.",Diagrams undesrstading; Document understanding; NL understanding,Conference Paper,Final,,Scopus,2-s2.0-85013661641
16,"George Okeyo, Liming Chen, Hui Wang, Roy Sterritt",23095574900;35519432500;36060775900;7005823296;,A hybrid ontological and temporal approach for composite activity modelling,2012.0,"Proc. of the 11th IEEE Int. Conference on Trust, Security and Privacy in Computing and Communications, TrustCom-2012 - 11th IEEE Int. Conference on Ubiquitous Computing and Communications, IUCC-2012",,,6296197,1763,1770,,33.0,10.1109/TrustCom.2012.34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868089033&doi=10.1109%2fTrustCom.2012.34&partnerID=40&md5=40dc3824816f4ec01f2b654123c3be1a,"Activity modelling is required to support activity recognition and further to provide activity assistance for users in smart homes. Current research in knowledge-driven activity modelling has mainly focused on single activities with little attention being paid to the modelling of composite activities such as interleaved and concurrent activities. This paper presents a hybrid approach to composite activity modelling by combining ontological and temporal knowledge modelling formalisms. Ontological modelling constructors, i.e. concepts and properties for describing composite activities, have been developed and temporal modelling operators have been introduced. As such, the resulting approach is able to model both static and dynamic characteristics of activities. Several composite activity models have been created based on the proposed approach. In addition, a set of inference rules has been provided for use in composite activity recognition. A concurrent meal preparation scenario is used to illustrate both the proposed approach and associated reasoning mechanisms for composite activity recognition. © 2012 IEEE.",activity modelling; concurrent activities; interleaved activities; ontologies; smart homes; Temporal knowledge,Conference Paper,Final,,Scopus,2-s2.0-84868089033
17,"Mao Chen, Jakka Sairamesh",55733166800;6602168857;,A knowledge model-driven recommender system for business transformation,2006.0,"Proceedings - 2006 IEEE International Conference on Services Computing, SCC 2006",,,4026907,77,84,,4.0,10.1109/SCC.2006.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35148873281&doi=10.1109%2fSCC.2006.8&partnerID=40&md5=1eddf2fec0723a16d8a6d3dc2f8b3924,"Engineering approach for transforming business process and workforce management is an emerging area that is gaining increasing interest for its many promising applications in service science. Yet, three major challenges stand out in engineering any business transformation process. The first challenge is accurate modeling of the transformation knowledge that may be scattered across multiple application domains. The second challenge is efficient and precise real-time evaluation based on the knowledge model. The third challenge will be to generate intelligent recommendations about business transformation that can significantly improve the business process and drive down opportunity costs. This paper proposes an integrated knowledge model-driven recommender system that effectively addresses all of the three abovementioned challenges of modeling, evaluating, and recommending. Using a real-world case study on warranty processing at a major automotive manufacturer, this paper presents a novel business transformation framework that consists of a knowledge model on business value drivers and metrics, an evaluation engine for processing real-time business events, and a recommendation engine that utilizes information obtained from the evaluation engine to suggest new processes and workforce allocation strategy, which can be subjected to a new cycle of modeling and evaluation to complete a feedback loop. Our experimental study using the real-world data results in a ""25/75"" rule in predictive warranty data processing: 25% of information contains 75% of business information entropy, thereby demonstrating the effectiveness of the system. © 2006 IEEE.",Business process transformation; Knowledge model; Real-time information ranking; Workforce allocation,Conference Paper,Final,,Scopus,2-s2.0-35148873281
18,"Ricardo Aler, Daniel Borrajo, David Camacho, Almudena Sierra-Alonso",6602918196;6603908284;7003774102;6508320753;,"A knowledge-based approach for business process reengineering, SHAMASH",2002.0,Knowledge-Based Systems,15,8,,473,483,,22.0,10.1016/S0950-7051(02)00032-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036833004&doi=10.1016%2fS0950-7051%2802%2900032-1&partnerID=40&md5=c53e35407c1465c2f099606bf7afa545,"In this paper we present an overview of SHAMASH, a process modelling tool for business process reengineering. The main features that differentiate it from most current related tools are its ability to define and use organisation standards, and functional structure, and make automatic model simulation and optimisation of them. SHAMASH is a knowledge-based system, and we include a discussion on how knowledge acquisition did take place. Furthermore, we introduce a high level description of the architecture, the conceptual model, and other important modules of the system. © 2002 Elsevier Science B.V. All rights reserved.",Automatic optimisation; Business process reengineering; Knowledge-based tool,Article,Final,"All Open Access, Green",Scopus,2-s2.0-0036833004
19,"Michael Walch, Takeshi Morita, Dimitris Karagiannis, Takahira Yamaguchi",57189036096;56537565700;35573472500;7406901162;,A Knowledge-Based Conceptual Modelling Approach to Bridge Design Thinking and Intelligent Environments,2019.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11775 LNAI,,,524,536,,2.0,10.1007/978-3-030-29551-6_47,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081613804&doi=10.1007%2f978-3-030-29551-6_47&partnerID=40&md5=5ce768dc9ae169e4902ee61d90dd532e,"One aspect of knowledge management is concerned with the alignment between what is captured in the heads of people and what is encoded by technology. The alignment of knowledge is necessary as humans possess an efficient ability to design innovation based on business insights, while technological systems are able to operating efficiently in different environments. To support knowledge management, this study presents systematic foundations covering a knowledge-based conceptual modelling approach. On a systematic level, three procedures are presented to facilitate the alignment of knowledge between people and technology: the decomposition of concepts from design thinking in conceptual models, the abstraction of capabilities from intelligent environments in conceptual models, and the (semi-) automated, intelligent transformation of conceptual models. Furthermore, the architecture of ICT infrastructure supporting the three procedures is addressed. These systematic foundations are integrated in the OMiLAB ecosystem and instantiated in two projects. The first project revolves around PRINTEPS, which is a framework to develop practical Artificial Intelligence. The second project revolves around s*IoT, which is a unifying semantic-aware modelling environment for the Internet of Things. Additionally, two concrete cases are presented for both project. Due to employing common systematic foundations, transfer and reuse among the two projects is facilitated. © Springer Nature Switzerland AG 2019.",Conceptual modelling in knowledge-based systems; Knowledge and data integration; Knowledge creation and acquisition,Conference Paper,Final,,Scopus,2-s2.0-85081613804
20," Cao,  Fu",57190209012;36955267100;,A knowledge-based prototype system to support Product Conceptual Design,2011.0,Computer-Aided Design and Applications,8,1,,129,147,,16.0,10.3722/cadaps.2011.129-147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961002856&doi=10.3722%2fcadaps.2011.129-147&partnerID=40&md5=7fd0c9fd4e589d51c079ea4e773286fe,"A key step in conceptual design is to develop specifications for the required behaviors or functions and transforms the specifications into the description of component configuration. In this paper, a design synthetic approach is proposed and employed to guide the design process via behavioral reasoning and to obtain an iterative transforming process. Firstly, the functional representations and design parameters according to the design requirements of a product are presented and a behavioral matrix model by using the bond graph fundamental elements is established. Secondly, a knowledge modeling language is presented for behavioral reasoning. A design synthesis approach is described in detail in such a way to transform the matrix model for generating functional means tree and to obtain multi-solutions by artificial intelligence. A prototype system is then developed for computer-aided conceptual design. Finally, a design synthesis case of a fast clasping mechanism used in a machine center is presented to show its application. © 2011 CAD Solutions, LLC.",Behavioral matrix; Bond graph; Functional means tree,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-79961002856
21,"Mouenis Anouar Tadlaoui, Rommel Novaes Carvalho, Mohamed Khaldi",57201350528;24483285100;7004118758;,A learner model based on multi-entity Bayesian networks and artificial intelligence in adaptive hypermedia educational systems,2018.0,International Journal of Advanced Computer Research,8,37,,148,160,,3.0,10.19101/IJACR.2018.836020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051278441&doi=10.19101%2fIJACR.2018.836020&partnerID=40&md5=abc852f7e0c4e46ef2f6fbd80c299d96,"The aim of this paper is to present a probabilistic and dynamic learner model in adaptive hypermedia educational systems based on multi-entity Bayesian networks (MEBN) and artificial intelligence. There are several methods and models for modelling the learner in adaptive hypermedia educational systems, but they're based on the initial profile of the learner created in his entry into the learning situation. They do not handle the uncertainty in the dynamic modelling of the learner based on the actions of the learner. The main hypothesis of this paper is the management of the learner model based on MEBN and artificial intelligence, taking into accounts the different action that the learner could take during his/her whole learning path. In this paper, the use of the notion of fragments and MEBN theory (MTheory) to lead to a Bayesian multi-entity network has been proposed. The use of this Bayesian method can handle the whole course of a learner as well as all of its shares in an adaptive educational hypermedia. The approach that we followed during this paper is marked initially by modelling the learner model in three levels: we started with the conceptual level of modelling with the unified modelling language, followed by the model based on Bayesian networks to be able to achieve probabilistic modelling in the three phases of learner modelling. © 2018 ACCENTS.",Adaptive educational hypermedia; Adaptive hypermedia; Artificial intelligence learner model; Bayesian networks; E-learning; MEBN theory (MTheory); Multi entity Bayesian network (MEBN),Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85051278441
