Title,Year,Authors,Author Keywords,Document Type,NumPages,SourceTitle,DOI,Citations,Source,AI Taxonomy Domain,AI Taxonomy Subdomain,AI Technique,AI model Value to CM,Modeling Purpose,Modelling Language,Tool Support,Contribution Type,Research Type,Author Affiliations,Abstract,Countries,universities
An Introduction to UMLPDSV for Real-Time Dynamic Signature Verification,2018,"Fatima Samea, Muhammad Waseem Anwar, Farooque Azam, Mehreen Khan, Muhammad Fahad Shinwari",UMLPDSV; MDA; Model-driven; Dynamic signature verification,Conference Paper,11,"Information and Software Technologies, ICIST",https://doi.org/10.1007/978-3-319-99972-2_32,2,Scopus,Learning,Machine learning,Machine Learning,Model Creation - Semi-Automated,Code Generation,"UML & UML Diagram Type & UML Profile, Others",Not Available,Concepts,Solution,"[{'name': 'Fatima Samea', 'Affiliation(s)': ('College of Electrical & Mechanical Engineering', 'Pakistan')}, {'name': 'Muhammad Waseem Anwar', 'Affiliation(s)': ('College of Electrical & Mechanical Engineering', 'Pakistan')}, {'name': 'Farooque Azam', 'Affiliation(s)': ('College of Electrical & Mechanical Engineering', 'Pakistan')}, {'name': 'Mehreen Khan', 'Affiliation(s)': ('College of Electrical & Mechanical Engineering', 'Pakistan')}, {'name': 'Muhammad Fahad Shinwari', 'Affiliation(s)': ('College of Electrical & Mechanical Engineering', 'Pakistan')}]","© 2018, Springer Nature Switzerland AG.Signatures are one of the most important behavioral biometric feature which are used to recognize an individual identity. These handwritten signatures are captured as actual input signals that are written on some electronic gadgets by the user. The divergent writing patterns of individuals primarily due to variation in style, shape and steadiness create real time challenges in differentiating real signatures from the fake ones. In order to overcome the said challenge of signature recognition, this article introduces model driven approach for dynamic signature verification. Particularly, a UMLPDSV (Unified Modeling Language Profile for Dynamic Signature Verification) has been proposed to specify the signature verification requirements at high abstraction level. This provides the basis to automatically generate target models of different machine learning tools (e.g. RapidMiner process, Matlab code etc.) to perform dynamic signature verification. The applicability of UMLPDSV has been validated through internet banking case study.","['Pakistan', 'Pakistan', 'Pakistan', 'Pakistan', 'Pakistan']","['College of Electrical & Mechanical Engineering', 'College of Electrical & Mechanical Engineering', 'College of Electrical & Mechanical Engineering', 'College of Electrical & Mechanical Engineering', 'College of Electrical & Mechanical Engineering']"
An LSTM-Based Neural Network Architecture for Model Transformations,2019,"Loli Burgueño, Jordi Cabot, Sébastien Gérard","MDE, model transformations, LSTM ANN",Conference Paper,6,"ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS",https://doi.org/10.1109/MODELS.2019.00013,12,Scopus,Learning,Machine learning,Deep Learning,Model Use - Processing,Representation,Ecore,https://github.com/modelia/ann-for-mts.git,Algorithms,"Solution, Evaluation","[{'name': 'Loli Burgueño', 'Affiliation(s)': ('Open University of Catalonia', 'Spain')}, {'name': 'Jordi Cabot', 'Affiliation(s)': ('Open University of Catalonia', 'Spain')}, {'name': 'Sébastien Gérard', 'Affiliation(s)': ('Open University of Catalonia', 'Spain')}]","© 2019 IEEE.Model transformations are a key element in any model-driven engineering approach. But writing them is a time-consuming and error-prone activity that requires specific knowledge of the transformation language semantics. We propose to take advantage of the advances in Artificial Intelligence and, in particular Long Short-Term Memory Neural Networks (LSTM), to automatically infer model transformations from sets of input-output model pairs. Once the transformation mappings have been learned, the LSTM system is able to autonomously transform new input models into their corresponding output models without the need of writing any transformation-specific code. We evaluate the correctness and performance of our approach and discuss its advantages and limitations.","['Spain', 'Spain', 'Spain']","['Open University of Catalonia', 'Open University of Catalonia', 'Open University of Catalonia']"
An MDE approach for modelling and reasoning about multi-agent systems,2017,"Fazle Rabbi, Yngve Lamo, Lars Michael Kristensen",Model-driven engineering; Epistemic logic; Modal logic; Knowledge base,Conference Paper,9,"European Conference on Multi-Agent Systems International Conference on Agreement Technologies, EUMAS",https://doi.org/10.1007/978-3-319-59294-7_5,0,Scopus,"Reasoning, Integration and Interaction","Multi-agent systems, Knowledge representation","Multi-Agent Systems, Epistemic logic",,"Representation, Analysis",DSML,Not Available,Concepts,Solution,"[{'name': 'Fazle Rabbi', 'Affiliation(s)': [('Western Norway University of Applied Sciences', 'Norway'), ('Oslo, University of', 'Norway')]}, {'name': 'Yngve Lamo', 'Affiliation(s)': ('Western Norway University of Applied Sciences', 'Norway')}, {'name': 'Lars Michael Kristensen', 'Affiliation(s)': ('Western Norway University of Applied Sciences', 'Norway')}]","© Springer International Publishing AG 2017.Epistemic logic plays an important role in artificial intelligence for reasoning about multi-agent systems. Current approaches for modelling multi-agent systems with epistemic logic use Kripke semantics where the knowledge base of an agent is represented as atomic propositions, but intelligent agents need to be equipped with formulas to derive implicit information. In this paper, we propose a metamodelling approach where agents’ state of affairs are separated in different scopes, and the knowledge base of an agent is represented by a propositional logic language restricted to Horn clauses. We propose to use a model driven approach for the diagrammatic representation of multi-agent systems knowledge (and nested knowledge). We use a message passing for updating the state of affairs of agents and use belief revision to update the knowledge base of agents.","['Norway', 'Norway', 'Norway', 'Norway']","['Western Norway University of Applied Sciences', 'University of Oslo', 'Western Norway University of Applied Sciences', 'Western Norway University of Applied Sciences']"
An MDE Approach to Develop Mobile-Agents Applications,2013,"Tahar Gherbi, Isabelle Borne, Djamel Meslati",Mobile Agent; MAS; MaSE; m-Gaia; AALAADIN; PIM; MDE,Conference Paper,17,"Evaluation of Novel Approaches to Software Engineering, ENASE",https://doi.org/10.1007/978-3-642-54092-9_5,0,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,,Code Generation,DSML,Not Available,"Methods, Concepts","Solution, Evaluation","[{'name': 'Tahar Gherbi', 'Affiliation(s)': ('Institute for Research in Computer Science and Random Systems', 'France')}, {'name': 'Isabelle Borne', 'Affiliation(s)': ('Institute for Research in Computer Science and Random Systems', 'France')}, {'name': 'Djamel Meslati', 'Affiliation(s)': ('Badji Mokhtar University – Annaba', 'Algeria')}]","The complexity and scope of software systems continue to grow. One approach to deal with this growing complexity is to use intelligent multi-agents system. Agents may be stationary or mobiles. Our work contributes to bridge the gap between agent oriented software engineering methodologies and mobile-agent systems. Indeed, we aim to propose an approach to develop multi-agents systems including mobile agents. This paper focuses principally on our design meta-model. Therefore, it gives an overview of our approach, discusses the issue of mobile-agents platforms compliance with MASIF and FIPA specifications; then examines our design meta-model versus particularly three works supporting mobility by extending a multi-agents system methodology (MaSE, Gaia, and AALAADIN). © Springer-Verlag Berlin Heidelberg 2013.","['France', 'France', 'Algeria']","['Institute for Research in Computer Science and Random Systems', 'Institute for Research in Computer Science and Random Systems', 'Badji Mokhtar University – Annaba']"
An MDE method for improving deep learning dataset requirements engineering using alloy and UML,2021,"Benoît Ries, Nicolas Guelfi, Benjamin Jahić",,Conference Paper,12,"International Conference on Model-Driven Engineering and Software Development, MODELSWARD",https://doi.org/10.5220/0010216600410052,0,Scopus,Learning,Machine learning,Deep Learning,,Code Generation,DSML,https://doi.org/10.5281/zenodo.4020938,Methods,Solution,"[{'name': 'Benoît Ries', 'Affiliation(s)': ('Luxembourg, University of', 'Luxembourg')}, {'name': 'Nicolas Guelfi', 'Affiliation(s)': ('Luxembourg, University of', 'Luxembourg')}, {'name': 'Benjamin Jahić', 'Affiliation(s)': ('Luxembourg, University of', 'Luxembourg')}]","Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.Since the emergence of deep learning (DL) a decade ago, only few software engineering development methods have been defined for systems based on this machine learning approach. Moreover, rare are the DL approaches addressing specifically requirements engineering. In this paper, we define a model-driven engineering (MDE) method based on traditional requirements engineering to improve datasets requirements engineering. Our MDE method is composed of a process supported by tools to aid customers and analysts in eliciting, specifying and validating dataset structural requirements for DL-based systems. Our model driven engineering approach uses the UML semi-formal modeling language for the analysis of datasets structural requirements, and the Alloy formal language for the requirements model execution based on our informal translational semantics. The model executions results are then presented to the customer for improving the dataset validation activity. Our approach aims at validating DL-based dataset structural requirements by modeling and instantiating their datatypes. We illustrate our approach with a case study on the requirements engineering of the structure of a dataset for classification of five-segments digits images.","['Luxembourg', 'Luxembourg', 'Luxembourg']","['University of Luxembourg', 'University of Luxembourg', 'University of Luxembourg']"
An organizational metamodel for the design of catalogues of communicative actions,2002,"Juan Manuel Serrano, Sascha Ossowski",,Conference Paper,17,"Intelligent Agents and Multi-Agent Systems, PRIMA",https://doi.org/10.1007/3-540-45680-5_7,7,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,,"Representation, (Re-) Design",UML & UML Diagram Type & UML Profile,Not Available,"Concepts, Methods",Solution,"[{'name': 'Juan Manuel Serrano', 'Affiliation(s)': ('Rey Juan Carlos University', 'Spain')}, {'name': 'Sascha Ossowski', 'Affiliation(s)': ('Rey Juan Carlos University', 'Spain')}]","© Springer-Verlag Berlin Heidelberg 2002.Modern ACLs, such as FIPA ACL, provide standardized catalogues of performatives denoting types of communicative actions. They have been designed as general purpose languages to ensure interoperability among agent systems. However, recent work reports a need for new ad-hoc sets of performatives in certain contexts, showing that FIPA ACL does not support adequately all relevant types of interactions. In this paper we first present a formal model that relates performatives, and other ACL-related concepts, to the organization of MAS. Then, a principled method for the design of the ACL of a particular MAS is developed, which account for both, reusability and expressiveness. Finally, we illustrate our approach by an example in the domain of online stock brokering.","['Spain', 'Spain']","['Rey Juan Carlos University', 'Rey Juan Carlos University']"
Analysis of assembly operations' difficulty using enhanced expert high-level colored fuzzy Petri net model,2004," Ben-Arieh, Rajeev Ranjan Kumar,  Tiwari",mating-based assembly; triangular fuzzy number; degree of difficulty; enhanced high-level colored Petri net model; expert Petri net model,Article,19,Robotics and Computer-Integrated Manufacturing,https://doi.org/10.1016/j.rcim.2004.03.002,34,Scopus,Reasoning,Knowledge representation,Fuzzy Sets,Model Creation - Semi-Automated,"Representation, (Re-) Design, Analysis",Petri Nets,Not Available,Concepts,Solution,"[{'name': ' Ben-Arieh', 'Affiliation(s)': ('National Institute of Foundry and Forge Technology India', 'India')}, {'name': 'Rajeev Ranjan Kumar', 'Affiliation(s)': ('Kansas State University', 'United States')}, {'name': ' Tiwari', 'Affiliation(s)': ('Kansas State University', 'United States')}]","Majority of the products can be assembled in several ways that means the same final product can be realized by different sequences of assembly operations. Different degree of difficulty is associated with each sequence of assembly operation and such difficulties are caused by the different mechanical constraints forced by the different sequences of operations. In the past, few notable attempts have been made to represent and enumerate the degree of difficulty associated with an assembly sequence (in the form of triangular fuzzy number) by using the concept of assembly graph. However, such representation schemes do not possess the capabilities to model the user's reasoning and preferences. In this research, an intelligent Petri net model that combines the abilities of modelling, planning and performance evaluation for assembly operation is presented. This modelling tool can represent the issues concerning degree of difficulty associated with assembly sequences. The proposed mechanism is enhanced expert high-level colored fuzzy Petri net (EEHLCFPN) that is a hybrid of knowledge-based system and colored Petri net. An example encompassing assembly of subassemblies is considered to efficiently delineate the modelling capabilities of proposed hybrid petri net model. © 2004 Elsevier Ltd. All rights reserved.","['India', 'United States', 'United States']","['National Institute of Foundry and Forge Technology India', 'Kansas State University', 'Kansas State University']"
Analysis of Intelligent Transportation Systems Using Model-Driven Simulations,2015,"Alberto Fernández-Isabel, Rubén Fuentes-Fernández",intelligent transportation system; smart city; sensor; actuator; traffic lights; simulation; model-driven engineering; modeling language; agent-based modeling; code generation,Article,26,SENSORS,https://doi.org/10.3390/s150614116,28,Web of Science,"Integration and Interaction, Planning","Multi-agent systems, Optimization",Multi-Agent Systems,,Code Generation,DSML,Closed,"Concepts, Algorithms","Solution, Evaluation","[{'name': 'Alberto Fernández-Isabel', 'Affiliation(s)': ('Complutense University of Madrid', 'Spain')}, {'name': 'Rubén Fuentes-Fernández', 'Affiliation(s)': ('Complutense University of Madrid', 'Spain')}]","© 2015 by the authors; licensee MDPI, Basel, Switzerland.Intelligent Transportation Systems (ITSs) integrate information, sensor, control, and communication technologies to provide transport related services. Their users range from everyday commuters to policy makers and urban planners. Given the complexity of these systems and their environment, their study in real settings is frequently unfeasible. Simulations help to address this problem, but present their own issues: there can be unintended mistakes in the transition from models to code; their platforms frequently bias modeling; and it is difficult to compare works that use different models and tools. In order to overcome these problems, this paper proposes a framework for a model-driven development of these simulations. It is based on a specific modeling language that supports the integrated specification of the multiple facets of an ITS: people, their vehicles, and the external environment; and a network of sensors and actuators conveniently arranged and distributed that operates over them. The framework works with a model editor to generate specifications compliant with that language, and a code generator to produce code from them using platform specifications. There are also guidelines to help researchers in the application of this infrastructure. A case study on advanced management of traffic lights with cameras illustrates its use","['Spain', 'Spain']","['Complutense University of Madrid', 'Complutense University of Madrid']"
Analysis of process models,2000,"A. Zakarian, A. Kusiak",approximate reasoning; fuzzy sets; process models; quantitative analysis,Article,11,IEEE Transactions on Electronics Packaging Manufacturing,https://doi.org/10.1109/6104.846937,15,IEEE,Reasoning,Automated reasoning,Fuzzy Sets,Model Use - Analyzing,"Representation, Analysis",DSML,Not Available,Methods,Solution,"[{'name': 'A. Zakarian', 'Affiliation(s)': ('University of Michigan', 'United States')}, {'name': 'A. Kusiak', 'Affiliation(s)': ('University of Iowa', 'United States')}]","Process modeling tools, such as the integrated DEFinition (IDEF) methodology, allow for a systematic representation of processes in manufacturing, product development, and service applications. Most of the process modeling methodologies are based on informal notation, lack mathematical rigor, and are static and qualitative, thus difficult to be used for analysis. In this paper, a new analysis approach for process models based on signed directed graphs (SDG's) and fuzzy sets is presented. A membership function of fuzzy sets quantifies and transforms incomplete and ambiguous information of process variables into an SDG qualitative model. The effectiveness of the approach is illustrated with an industrial example. The architecture of an intelligent system for qualitative/quantitative analysis of process models is presented. ©2000 IEEE.","['United States', 'United States']","['University of Michigan', 'University of Iowa']"
Anti-logicist framework for design-knowledge representation,2015,"A. Giovannini, A. Aubry, H. Panetto, H. {El Haouzi}, L. Pierrel",,Article,14,Annual Reviews in Control,https://doi.org/10.1016/j.arcontrol.2015.03.013,15,Science Direct,Reasoning,Knowledge representation,,Model Creation - Semi-Automated,"Representation, Analysis, (Re-) Design",DSML,http://www.3ds.com/products-services/catia/portfolio/catia-v5/all-products/domain/Product_Synthesis/,"Concepts, Algorithms",Solution,"[{'name': 'A. Giovannini', 'Affiliation(s)': (('CNRS', 'CRAN UMR 7039', 'France'), ('Université de Lorraine', 'CRAN', 'France'), ('TRANE SAS', 'rue des Amériques', 'France'))}, {'name': 'A. Aubry', 'Affiliation(s)': (('CNRS', 'CRAN UMR 7039', 'France'), ('Université de Lorraine', 'CRAN', 'France'))}, {'name': 'H. Panetto', 'Affiliation(s)': (('CNRS', 'CRAN UMR 7039', 'France'), ('Université de Lorraine', 'CRAN', 'France'))}, {'name': 'H. {El Haouzi}', 'Affiliation(s)': ('TRANE SAS', 'rue des Amériques', 'France')}, {'name': 'L. Pierrel', 'Affiliation(s)': ('Politecnico di Bari', 'Italy')}]","The knowledge reuse and mapping are among the most important concerns related to the design knowledge representation. In this paper, authors focus on the importance of one specific property of a design knowledge representation: the unambiguity. Authors show (1) how the ambiguity of the representation can increase the risk of a failure in the reuse and mapping processes, (2) how most of works in the literature use formal logic constructs and finally (3) how the use of these can increase the risk of ambiguity. On the basis of these remarks, an overview on the works on the anti-logicist architecture is provided: the systems based on this architecture show an intelligent behaviour without using logic constructs. An analysis and a transposition of the anti-logicist principles are then performed to build a framework allowing to represent design knowledge without logic constructs. To do so (1) main concepts are formalised in a conceptual model; (2) an algorithm has been designed to map pieces of knowledge based only on the representation syntax; (3) two instantiations of the framework are showed using a CAD instantiation. Finally, the limits of the current deployment of the framework and the research perspectives are discussed.","['France', 'France', 'France', 'France', 'France', 'France', 'France', 'France', 'Italy']","['CNRS CRAN UMR 7039', 'Université de Lorraine CRAN', 'TRANE SAS rue des Amériques', 'CNRS CRAN UMR 7039', 'Université de Lorraine CRAN', 'CNRS CRAN UMR 7039', 'Université de Lorraine CRAN', 'TRANE SAS rue des Amériques', 'Politecnico di Bari']"
Applying and validating a UML metamodel for the requirements analysis in multi-agent systems: The AME-A case study,2011,"Gilleanes Thorwald Araujo Guedes, Rosa Maria Vicari",,Conference Paper,6,"International Conference on Software Engineering and Knowledge Engineering, SEKE",,2,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,,"Representation, (Re-) Design",DSML,Not Available,Concepts,"Solution, Evaluation","[{'name': 'Gilleanes Thorwald Araujo Guedes', 'Affiliation(s)': ('Federal University of Rio Grande do Sul', 'Brazil')}, {'name': 'Rosa Maria Vicari', 'Affiliation(s)': ('Federal University of Rio Grande do Sul', 'Brazil')}]",This paper presents the application and validation of a UML metamodel developed for the requirements modeling in multi-agent systems projects. In this paper we describe the metamodel and its application into the modeling of an intelligent tutor system called AME-A. We also demonstrate the way we intend to validate this metamodel.,"['Brazil', 'Brazil']","['Federal University of Rio Grande do Sul', 'Federal University of Rio Grande do Sul']"
Applying GA with tabu list for automatically generating test cases based on formal specification,2015,"Yuqin Zhou, Taku Sugihara, Yuji Sato",,Conference Paper,15,"International Workshop on Structured Object-Oriented Formal Language and Method, SOFL+MSVL",https://doi.org/10.1007/978-3-319-17404-4_2,3,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,Representation,DSML,Closed,Algorithms,"Solution, Evaluation","[{'name': 'Yuqin Zhou', 'Affiliation(s)': ('Hosei University', 'Japan')}, {'name': 'Taku Sugihara', 'Affiliation(s)': ('Hosei University', 'Japan')}, {'name': 'Yuji Sato', 'Affiliation(s)': [('Hosei University', 'Japan'), ('Hosei University', 'Japan')]}]","© Springer International Publishing Switzerland 2015.How to generate adequate test cases based on a specification to cover all of the paths in its implementation is a challenge in software testing. This paper presents a new approach to selecting test cases for program testing. The essential idea is to generate a set of test cases based on a given operation specification in pre-post notation, and then apply the genetic algorithm to facilitate the generation of more effective test cases in terms of program path coverage. The principle of GA is discussed and an improvement of the GA through integration with Tabu list is presented. An experiment is conducted to study how the improved GA can be applied and to evaluate its effectiveness. The result shows that our proposed method is more efective than conventional methods and can cover all paths based on formal specification.","['Japan', 'Japan', 'Japan', 'Japan']","['Hosei University', 'Hosei University', 'Hosei University', 'Hosei University']"
Applying graph kernels to model-driven engineering problems,2018,"Robert Clarisó, Jordi Cabot","graph kernel, Machine Learning, model diversity, Model-Driven Engineering, clustering",Conference Paper,5,"International Workshop on Machine Learning and Software Engineering in Symbiosis, MASES",https://doi.org/10.1145/3243127.3243128,6,Scopus,Learning,Machine learning,Machine Learning,Model Use - Processing,Representation,Ecore,Not Available,Algorithms,Vision,"[{'name': 'Robert Clarisó', 'Affiliation(s)': ('Open University of Catalonia', 'Spain')}, {'name': 'Jordi Cabot', 'Affiliation(s)': ('Catalan Institution for Research and Advanced Studies', 'Spain')}]","© 2018 Association for Computing Machinery.Machine Learning (ML) can be used to analyze and classify large collections of graph-based information, e.g. images, location information, the structure of molecules and proteins, . . . Graph kernels is one of the ML techniques typically used for such tasks. In a software engineering context, models of a system such as structural or architectural diagrams can be viewed as labeled graphs. Thus, in this paper we propose to employ graph kernels for clustering software modeling artifacts. Among other benefits, this would improve the efficiency and usability of a variety of software modeling activities, e.g., design space exploration, testing or verification and validation.","['Spain', 'Spain']","['Open University of Catalonia', 'Catalan Institution for Research and Advanced Studies']"
Approach for Model Driven Development of Multi-agent Systems for Ambient Intelligence,2021,"Tsvetelina Ivanova, Idilia Batchkova",,Book Chapter,16,Studies in Computational Intelligence,https://doi.org/10.1007/978-3-030-61045-6_13,2,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,,Code Generation,DSML,Closed,Methods,Solution,"[{'name': 'Tsvetelina Ivanova', 'Affiliation(s)': ('Chemical Technology and Metallurgy Sofia, University of', 'Bulgaria')}, {'name': 'Idilia Batchkova', 'Affiliation(s)': ('Chemical Technology and Metallurgy Sofia, University of', 'Bulgaria')}]","Ambient Intelligence systems are smart environments, which are reactive and proactive to people making their actions safer and more efficient. In respect to the relation with users, they should be non-obtrusive, context aware, personalized, adaptive and anticipatory. Reliable way to achieve these main features is the choice of appropriate development approach that will ensure the reusability, portability, scalability and interoperability of ambient intelligence applications. The model driven development is a promising approach for development of different software applications using models at different levels of abstraction and applying model transformation to code generation. In this paper an extension to the traditional model driven development approach is suggested based on model driven architecture and compositional models as core elements for automation of expert activities, enabling the context-awareness of application. The ambient intelligence systems are represented as layer-based multi agent systems that enable the division of system elements into levels, reduce the coupling between modules and facilitates abstractions as well as the distributions of responsibilities. The suggested approach is illustrated with an example from the field of health and medicine, namely the development of Holter monitoring system using context based on O-MaSE methodology and agentTool III.","['Bulgaria', 'Bulgaria']","['University of Chemical Technology and Metallurgy Sofia', 'University of Chemical Technology and Metallurgy Sofia']"
Architectures for combining discrete-event simulation and machine learning,2020,Andrew Greasley,,Conference Paper,12,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications, SIMULTECH",https://doi.org/10.5220/0009767600470058,0,Scopus,Learning,Machine learning,Machine Learning,Model Use - Processing,Representation,DSML,Closed,Concepts,"Solution, Evaluation","[{'name': 'Andrew Greasley', 'Affiliation(s)': ('Aston University', 'United Kingdom')}]","© 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reservedA significant barrier to the combined use of simulation and machine learning (ML) is that practitioners in each area have differing backgrounds and use different tools. From a review of the literature this study presents five options for software architectures that combine simulation and machine learning. These architectures employ configurations of both simulation software and machine learning software and thus require skillsets in both areas. In order to further facilitate the combined use of these approaches this article presents a sixth option for a software architecture that uses a commercial off-the-shelf (COTS) DES software to implement both the simulation and machine learning algorithms. A study is presented of this approach that incorporates the use of a type of ML termed reinforcement learning (RL) which in this example determines an approximate best route for a robot in a factory moving from one physical location to another whilst avoiding fixed barriers. The study shows that the use of an object approach to modelling of the COTS DES Simio enables an ML capability to be embedded within the DES without the use of a programming language or specialist ML software.",['United Kingdom'],['Aston University']
Artifacting and regulating the environment of a virtual organization,2011,"Sergio Esparcia, Roberto Centeno, Ramon Hermóso, Estefanía Argente",,Conference Paper,8,"International Conference on Tools with Artificial Intelligence, ICTAI",https://doi.org/10.1109/ICTAI.2011.88,6,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,,Representation,DSML,Not Available,Concepts,Solution,"[{'name': 'Sergio Esparcia', 'Affiliation(s)': ('Polytechnic University of Valencia', 'Spain')}, {'name': 'Roberto Centeno', 'Affiliation(s)': ('National Distance Education University', 'Spain')}, {'name': 'Ramon Hermóso', 'Affiliation(s)': ('Rey Juan Carlos University', 'Spain')}, {'name': 'Estefanía Argente', 'Affiliation(s)': ('Polytechnic University of Valencia', 'Spain')}]","This work presents an extension of the Environment Dimension of the Virtual Organization Model, which is an Organization Modeling Language to define Organization-Centered Multi-Agent Systems. This extension allows this model to regulate the environment by supporting artifacts for organizational mechanisms, an approach based on the Agents & Artifacts conceptual framework. The three main entities of this framework are agents, artifacts and workspaces, which have been integrated in this work inside the Virtual Organization Model. Additionally, this paper presents an application to the health care setting and an analysis of the related work on this topic. © 2011 IEEE.","['Spain', 'Spain', 'Spain', 'Spain']","['Polytechnic University of Valencia', 'National Distance Education University', 'Rey Juan Carlos University', 'Polytechnic University of Valencia']"
Artificial institutions: A model of institutional reality for open multiagent systems,2008,"Nicoletta Fornara, Francesco Viganò, Mario Verdicchio, Marco Colombetti",,Article,17,Artificial Intelligence and Law,https://doi.org/10.1007/s10506-007-9055-z,65,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,,Representation,DSML,Not Available,Concepts,Solution,"[{'name': 'Nicoletta Fornara', 'Affiliation(s)': ('Italian Switzerland, University of', 'Switzerland')}, {'name': 'Francesco Viganò', 'Affiliation(s)': ('Italian Switzerland, University of', 'Switzerland')}, {'name': 'Mario Verdicchio', 'Affiliation(s)': ('Bergamo, University of', 'Italy')}, {'name': 'Marco Colombetti', 'Affiliation(s)': [('Italian Switzerland, University of', 'Switzerland'), ('Polytechnic University of Milan', 'Italy')]}]","Software agents' ability to interact within different open systems, designed by different groups, presupposes an agreement on an unambiguous definition of a set of concepts, used to describe the context of the interaction and the communication language the agents can use. Agents' interactions ought to allow for reliable expectations on the possible evolution of the system; however, in open systems interacting agents may not conform to predefined specifications. A possible solution is to define interaction environments including a normative component, with suitable rules to regulate the behaviour of agents. To tackle this problem we propose an application-independent metamodel of artificial institutions that can be used to define open multiagent systems. In our view an artificial institution is made up by an ontology that models the social context of the interaction, a set of authorizations to act on the institutional context, a set of linguistic conventions for the performance of institutional actions and a system of norms that are necessary to constrain the agents' actions. © 2007 Springer Science+Business Media B.V.","['Switzerland', 'Switzerland', 'Italy', 'Switzerland', 'Italy']","['University of Italian Switzerland', 'University of Italian Switzerland', 'University of Bergamo', 'University of Italian Switzerland', 'Polytechnic University of Milan']"
Artificial intelligence markup languange for interactive service HR department,2019,"Dheny Frizki, Indra Ranggadara, Amalia Fajar Wati",,Article,7,International Journal of Innovative Technology and Exploring Engineering,https://doi.org/10.35940/ijitee.L2962.1081219,86,Scopus,"Reasoning, Communication","Knowledge representation, Natural language processing","Machine Learning, NLP","Model Creation - Semi-Automated, Model Use - Processing",Representation,UML & UML Diagram Type & UML Profile,Closed,Methods,Solution,"[{'name': 'Dheny Frizki', 'Affiliation(s)': ('Mercu Buana, Universitas', 'Indonesia')}, {'name': 'Indra Ranggadara', 'Affiliation(s)': ('Mercu Buana, Universitas', 'Indonesia')}, {'name': 'Amalia Fajar Wati', 'Affiliation(s)': ('Mercu Buana, Universitas', 'Indonesia')}]","© BEIESP.Along with the development of information and communication technology systems in the era of free digitalization, people are asking for comfort and convenience by supporting their activities. One of them is easy to find artificial intelligence technology in various ways to support human activities. Artificial intelligence technology or often called Artificial Intelligence (AI) can be processed into various forms so that according to the adjusted method. Application of Artificial Intelligence Markup Language (AIML) with UML (Unified Modeling Language) design as an interactive media for personnel and employee services. The UML (Unified Modeling Language) design method is expected to help the personnel department in providing information to employees at PT. Dimensions of Indonesian Data. The information collected will be made into frequently asked questions and then adjusted to the AIML pattern.","['Indonesia', 'Indonesia', 'Indonesia']","['Mercu Buana, Universitas', 'Mercu Buana, Universitas', 'Mercu Buana, Universitas']"
Association Rules Transformation for Knowledge Integration and Warehousing,2018,"Rim Ayadi, Yasser Hachaichi, Jamel Feki",,Conference Paper,11,"Intelligent Systems Design and Applications, ISDA",https://doi.org/10.1007/978-3-319-76348-4_37,1,Scopus,Reasoning,Knowledge representation,,,Representation,DSML,http://poseidon.licef.ca/gmot/,"Concepts, Algorithms",Solution,"[{'name': 'Rim Ayadi', 'Affiliation(s)': ('Sfax, University of', 'Tunisia')}, {'name': 'Yasser Hachaichi', 'Affiliation(s)': [('Sfax, University of', 'Tunisia'), ('Republic of Tunisia Ministry of Higher Education, Scientific Research and Technology', 'Tunisia')]}, {'name': 'Jamel Feki', 'Affiliation(s)': [('Sfax, University of', 'Tunisia'), ('Jeddah, University of', 'Saudi Arabia')]}]","© 2018, Springer International Publishing AG, part of Springer Nature.Knowledge management process is a set of procedures and tools applied to facilitate capturing, sharing and effectively using knowledge. However, knowledge collected from organizations is generally expressed in various formalisms, therefore it is heterogeneous. Thus, a Knowledge Warehouse (KW), which is a solution for implementing all phases of the knowledge management process, should solve this structural heterogeneity before loading and storing knowledge. In this paper, we are interested in knowledge normalization. More accurately, we firstly introduce our proposed architecture for a KW, and then we present the MOT (Modeling with Object Types) language for knowledge representation. Since our objective is to transform heterogeneous knowledge into MOT, as a pivot model, we suggest a meta-model for the MOT and another for the explicit knowledge extracted through the association rules technique. Thereafter, we define eight transformation rules and an algorithm to transform an association rules model into the MOT model.","['Tunisia', 'Tunisia', 'Tunisia', 'Tunisia', 'Saudi Arabia']","['University of Sfax', 'University of Sfax', 'Republic of Tunisia Ministry of Higher Education, Scientific Research and Technology', 'University of Sfax', 'University of Jeddah']"
